,Dataset,MinPts,Epsilon,K_dbscan,K_reference,Coverage,median_reference,median_internal,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS
0,sipu/a1,6,0.08589098737817136,9,20,1.0,0.6424097397474939,0.3259984167847347,0.47171264122146966,0.8131068382735183,,0.3983092015767239,0.5016120186866695,4208.626703291408,0.25368763199274547,-0.7968334096926111,-362.2410795454443
1,sipu/a2,3,0.06414980477665556,21,35,1.0,0.6432456335602045,0.21571055743272144,0.4514897095072096,0.8350015576131994,,0.21874333697175888,0.5097660712592734,3531.091521286132,0.212677777893684,-0.9117052527495142,-616.4434925793104
2,sipu/a3,3,0.058661376627530175,28,50,1.0,0.6696319804078533,0.2528110617433598,0.48026624679424873,0.858997714021458,,0.2929499799402486,0.5103190798009937,5678.129821641196,0.21267214354647104,-0.7137596522419655,-672.6164419611603
3,sipu/aggregation,7,0.18010310433691598,5,7,1.0,0.8491744651568842,0.4843719177387436,0.8089434170360936,0.8894055132776747,,0.4120051756845776,0.5567386597929096,754.2001755708634,0.5892192291560016,-0.6249484938672866,-298.0497512182957
4,sipu/compound,3,0.1509550167195387,5,6,1.0,1.0,0.4121803125843092,1.0,1.0,,0.2767353620249915,0.5476252631436269,697.4331206071013,0.6001131628389706,-3.4247567908079617,-45.00234258557173
5,sipu/d31,5,0.09553112893736025,13,31,1.0,0.5522645285200827,0.2520641655741549,0.32357114642331314,0.7809579106168522,,0.3824275744146157,0.5581354504253319,2321.3843274297765,0.12170075673369408,-0.600253055981888,-592.9019544326565
6,sipu/flame,3,0.12716868625477204,1,2,1.0,0.0,,0.0,0.0,,,,,,,
7,sipu/jain,5,0.19589181644737447,5,2,1.0,0.8849284929414453,0.3078700777969554,0.943328720543086,0.8265282653398045,,0.26116560539984784,0.4797162579258233,73.21513304347228,0.354574550194063,-0.8102875781973873,-232.49011937511585
8,sipu/pathbased,3,0.22076687705663645,8,3,1.0,0.607019202633572,0.36498120816809254,0.5631370264014377,0.6509013788657063,,0.27598618717237,0.4539762291638151,199.1942259182566,0.506188778215749,-1.0978135301069936,-98.97005518812952
9,sipu/r15,6,0.11626395473862383,15,15,1.0,0.9965870213490191,0.7719176139249551,0.9961769877821772,0.9969970549158609,,0.7720082913311326,0.7718269365187774,5442.955500524659,1.1862048211734215,-0.29743777244702374,-8.270401454027589
10,sipu/s1,3,0.08081500958568734,17,15,1.0,0.9885080619057075,0.6882922371259754,0.9884500625224069,0.9885660612890081,,0.6811962840523194,0.6953881901996314,22252.53824349359,0.7020435089196094,-0.3805621353666208,-130.4010056848949
11,sipu/s2,7,0.16820302094387957,2,15,1.0,0.08727854283351726,0.14157903629315133,0.018481979530378532,0.15607510613665598,,0.15866370651725117,0.48760446068097607,491.0527795782841,0.12449436606905148,-0.8521339311817148,-8961.36834016928
12,sipu/s3,4,0.11068149315968002,6,15,1.0,0.004893803970157359,-0.1421739761613746,4.7327942250098735e-05,0.00974027999806462,,-0.3924763051339648,0.6980079650725829,9.978441907916627,0.10812835281121563,-0.7787190355700983,-9334.031388401343
13,sipu/s4,3,0.11207948956001383,10,15,1.0,0.008993292558294641,-0.07965741181782017,0.00021295212543595357,0.01777363299115333,,-0.2895648031696608,0.7080121175236902,13.823884992368296,0.13024997953402048,-0.6138265693174795,-9284.353736264178
14,sipu/spiral,4,0.26988544931490005,3,3,1.0,1.0,0.0009410604342405234,1.0,1.0,,0.0009499520403109508,0.0009321688281700961,5.926667588392136,0.5899963091498879,-5.950131800239416,-573.6811469235354
15,sipu/unbalance,6,0.05060172500134999,8,8,1.0,1.0,0.8453888329886255,1.0,1.0,,0.8634471751742837,0.8273304908029674,239921.86598731656,2.703671419821804,-0.2394508601597578,-16.09904787767733
16,uci/ecoli,3,1.303801997510229,3,8,1.0,0.06955730920242546,0.36319163046957,0.02830170728930514,0.11081291111554578,,0.21210448437269347,0.5142787765664465,8.658971632563555,1.7583147086418758,-0.7726926570869904,-2050.680765521042
17,uci/glass,6,0.04881734688167786,3,6,1.0,0.3735786056160101,0.49838323740779683,0.25846129038037735,0.4886959208516428,,0.4643802792300846,0.532386195585509,181.99692515128012,1.7922489232478025,-0.7368310910003942,-0.31743112634638726
18,uci/ionosphere,3,8.059680814450092,1,2,1.0,0.0,,0.0,0.0,,,,,,,
19,uci/sonar,3,4.323604113134999,1,2,1.0,0.0,,0.0,0.0,,,,,,,
20,uci/statlog,3,0.3623866852924091,59,7,1.0,0.5453664088059708,0.0734052669264724,0.435876332934763,0.6548564846771785,,-0.23192414935979433,0.5274706364618879,86.56282934503983,0.3787346832127391,-1.0111202629985974,-3486.2638430908846
21,uci/wdbc,3,0.261637454743332,8,2,0.9728155339805825,0.34800212790410134,0.46392221161490654,0.3909721550045862,0.30503210080361653,,0.5099522565862473,0.5158582373554396,183.1209782726699,0.4178921666435657,-0.5880380679301299,-533.1304473384378
22,uci/wine,5,0.16386640754086512,4,3,1.0,0.3609547126274373,0.4964313919085187,0.31117849496520733,0.41073093028966723,,0.5123185368039065,0.6696225523515221,273.1774600739543,0.4805442470131309,-0.37762219693198934,-44.0355368272152
23,uci/yeast,6,1.8130984541820652,3,10,0.9979619565217391,0.02543869485093855,0.4659758264467111,0.00943554954275846,0.04144184015911864,,0.4312357048892517,0.5007159480041704,69.32796357735151,2.842693613549093,-0.7928505617136631,-2655.644946390637
24,fcps/atom,5,0.7136468719123795,2,2,1.0,1.0,0.31184985902296325,1.0,1.0,,0.31219670724180765,0.3115030108041189,1.1595068965321988,1.152593951360691,-20.200689917091612,-2386.331259337218
25,fcps/chainlink,4,0.17182263999280092,2,2,1.0,1.0,0.1666516154265642,1.0,1.0,,0.16665161542656426,0.16665161542656418,250.86485063213473,1.2727313608118018,-1.9903188770799987,-2173.672796803161
26,fcps/engytime,3,0.1646661071226791,3,2,1.0,0.002006656420687411,0.18854462041310827,6.034731738512166e-05,0.003952965523989701,,0.1502755672103636,0.6945143731777188,15.364963634631641,0.22681367361585292,-0.5146858409265981,-7265.79984664815
27,fcps/hepta,3,0.37737975509034133,7,7,1.0,1.0,0.7039209876741448,1.0,1.0,,0.7057040077928295,0.7021379675554601,516.7960930589479,3.8570302805947803,-0.3517402011997063,-37.17983274472706
28,fcps/lsun,6,0.3606176503059303,3,3,1.0,1.0,0.48609431803272307,1.0,1.0,,0.47745633153699446,0.4947323045284517,384.4386816294592,0.8090872307823839,-0.7089984974253989,-271.3342269089855
29,fcps/target,5,0.2456074482088778,2,2,1.0,1.0,0.27432000069432216,1.0,1.0,,0.28440181906506506,0.26423818232357926,0.49389373432557676,0.8908616530948393,-32.83250569599747,-1301.5315454988813
30,fcps/tetra,4,0.463134227679194,4,4,1.0,1.0,0.51843818533471,1.0,1.0,,0.5184381853347098,0.5184381853347101,416.35608592381476,0.8876036591335456,-0.6437524931560846,-253.40378379686237
31,fcps/twodiamonds,8,0.11670920209795468,2,2,1.0,1.0,0.4322454520961364,1.0,1.0,,0.6305971995367963,0.6305971995367955,2386.425758153739,0.23389370465547726,-0.5418013535555646,-163.79165053522908
32,fcps/wingnut,5,0.20006127058262382,2,2,1.0,1.0,0.4482302158076098,1.0,1.0,,0.4482302158076098,0.44823021580760974,1061.0164495312567,0.4860600523255906,-0.8890184408075426,-634.8054902427563
33,graves/dense,5,0.4597182707936704,2,2,1.0,0.9680274649553242,0.7122345955585839,0.9787234103149445,0.9573315195957041,,0.7210587374300103,0.7034104536871576,616.9677261853512,1.5867841052075962,-0.407327354714943,-79.2168996159401
34,graves/fuzzyx,3,0.17063274217274443,1,5,1.0,0.0,,0.0,0.0,,,,,,,
35,graves/line,5,0.16143645449273988,2,2,1.0,1.0,0.3158773886116006,1.0,1.0,,0.1747390061806575,0.45701577104254365,28.01437137829165,0.8129027391369229,-1.2319620004455676,-442.0130136352257
36,graves/parabolic,3,0.14056725320204608,4,2,1.0,0.020758324426425327,-0.0643803109394545,0.0001767822770576988,0.04133986657579296,,-0.2904665553748717,0.38441614569570143,3.054529032419011,0.1617059334959627,-1.9132990529601666,-1921.5995340177801
37,graves/ring,6,0.11219377056614267,2,2,1.0,1.0,0.1355997898224719,1.0,1.0,,0.2682567620990554,0.2677799675775327,0.003419612067411087,1.0702631125528799,-449.64575517331974,-1994.6020325843738
38,graves/ring_noisy,6,0.10727147793880683,2,2,1.0,1.0,0.13923881411515118,1.0,1.0,,0.2666777904149725,0.2676243570333343,0.011799837815329853,1.043836871343169,-242.606434470189,-1840.7766502480426
39,graves/ring_outliers,6,0.10662301048753892,5,5,1.0,1.0,0.43717287187264603,1.0,1.0,,0.23969600822890189,0.6585492536880319,35.70712047131355,0.6346497355163901,-180.251589913893,-1801.481673391002
40,graves/zigzag,5,0.149138377775492,3,3,1.0,1.0,0.3019883999208512,1.0,1.0,,0.13059821220972206,0.4733785876319803,31.635612929678985,0.6864832448548592,-1.5767091215515496,-320.9854083923191
41,graves/zigzag_noisy,5,0.1442341891790511,3,3,1.0,1.0,0.29306691270496094,1.0,1.0,,0.1159803691055187,0.4701534563044032,30.86113244334538,0.6599983668478584,-1.5939162657922834,-334.8299225163186
42,graves/zigzag_outliers,5,0.13648502322538522,3,3,1.0,1.0,0.3019883878104812,1.0,1.0,,0.13059823256198833,0.47337854305897403,31.635635571596794,0.6864854997225288,-1.576708788215102,-268.8205463129314
